Size,Forward,Reverse,Random
1024,4.17,4.17,4.16
2048,4.56,4.16,4.16
4096,4.16,4.37,4.16
8192,4.22,4.16,4.20
16384,4.19,4.20,4.19
32768,4.23,4.22,4.20
65536,4.70,4.65,4.23
131072,4.65,4.71,4.20
262144,4.67,4.65,4.22
524288,4.72,4.69,4.34
1048576,4.68,4.68,4.76
2097152,4.74,4.71,5.18
4194304,4.70,4.61,4.59
8388608,4.68,4.32,4.63
16777216,4.26,4.26,4.37
33554432,4.27,4.31,6.25
67108864,4.27,4.29,12.07
134217728,-0.00,-0.00,-0.00
